지방우정청,총괄국명,우체국명, 주소(지번) , 주소(도로명) , 전화번호 
서울지방우정청,서울중앙우체국,서울중앙우체국,서울특별시 중구 충무로1가 21-1,서울특별시 중구 소공로 70 (층무로1가),02)6450-1114
서울지방우정청,서울중앙우체국,서울을지로4가우체국,서울특별시 중구 을지로4가 312-1,서울특별시 중구 을지로 154-2 (을지로4가),02)2273-6505
서울지방우정청,서울중앙우체국,서울태평로우체국,서울특별시 중구 봉래동1가 5-36 우리빌딩 2층,서울특별시 중구 칠패로 42 우리빌딩 2층 (봉래동1가),02)3783-7025
서울지방우정청,서울중앙우체국,서울퇴계로5가우체국,서울특별시 중구 장충동2가 173-3,서울특별시 중구 퇴계로 270 (장충동2가),02)2273-6508
서울지방우정청,서울중앙우체국,서울역전우체국,서울특별시 중구 봉래동2가 123,서울특별시 중구 통일로 21 (봉래동2가),02)757-1140
서울지방우정청,서울중앙우체국,서울신당동우체국,서울특별시 중구 신당동 369-36,서울특별시 중구 다산로 128-8 (신당동),02)2236-0606
서울지방우정청,서울중앙우체국,서울흥인동우체국,서울특별시 중구 흥인동 113-1,서울특별시 중구 다산로 253 (흥인동),02)2236-0500
서울지방우정청,서울중앙우체국,서울소공동우체국,서울특별시 중구 북창동 70-1,서울특별시 중구 남대문로1길 34 (북창동),02)757-2660
서울지방우정청,서울중앙우체국,서울충무로2가우체국,서울특별시 중구 충무로2가 49-17,서울특별시 중구 삼일대로6길 5 (충무로2가),02)2278-0037
서울지방우정청,서울중앙우체국,서울회현동우편취급국,서울특별시 중구 남창동 190-11,서울특별시 중구 퇴계로6길 18 (남창동),02)756-3377
서울지방우정청,서울중앙우체국,서울신당1동우편취급국,서울특별시 중구 다산로29길 23(신당동),서울특별시 중구 다산로 29길 23 (신당동),02)2252-5365
서울지방우정청,서울중앙우체국,서울신당현대우편취급국,서울특별시 중구 다산로36나길 7(신당동),서울특별시 중구 다산로 36나길 7 (신당동),02)2232-3316
서울지방우정청,서울중앙우체국,동국대학교우편취급국,서울특별시 중구 필동3가 26,서울특별시 중구 필동로1길 30 명진관 지하1층,02-2290-1451
서울지방우정청,광화문우체국,광화문우체국,서울특별시 종로구 서린동 154-1,서울특별시 종로구 종로6,02)3703-9012
서울지방우정청,광화문우체국,서울종로5가우체국,서울특별시 종로구 종로5가 98-6,서울특별시 종로구 종로 207-1,02)763-0004
서울지방우정청,광화문우체국,서울종로2가우체국,서울특별시 종로구 종로2가 39-2,서울특별시 종로구 종로17길 8,02)743-8973
서울지방우정청,광화문우체국,서울안국동우체국,서울특별시 종로구 안국동 155,서울특별시 종로구 율곡로 49,02)735-2005
서울지방우정청,광화문우체국,서울혜화동우체국,서울특별시 종로구 혜화동 111-3,서울특별시 종로구 혜화로 1,02)743-0014
서울지방우정청,광화문우체국,서울통의동우체국,서울특별시 종로구 통의동 102,서울특별시 종로구 자하문로 30,02)738-2005
서울지방우정청,광화문우체국,정부서울청사우편취급국,서울특별시 종로구 세종로 77-6,서울특별시 종로구 세종대로 209,02-738-0208
서울지방우정청,광화문우체국,서울세검정우체국,서울특별시 종로구 신영동 133-1,서울특별시 종로구 세검정로 258,02)379-0141
서울지방우정청,광화문우체국,서울숭인동우체국,서울특별시 종로구 숭인동 53-25,서울특별시 종로구 지봉로 88,02)745-0917
서울지방우정청,광화문우체국,서울대학교병원우편취급국,서울특별시 종로구 연건동 28-21 서울대학교병원 (신)본관 지하1층,"서울특별시 종로구 대학로 101, 서울대학교병원 (신)본관 지하1층",02-742-4005
서울지방우정청,광화문우체국,서울삼청동우체국,서울특별시 종로구 삼청동 25-23,서울특별시 종로구 북촌로 112,02)736-3005
서울지방우정청,광화문우체국,서울내수동우편취급국,서울특별시 종로구 내수동 167 대우빌딩 지하 101,서울특별시 종로구 새문안로 3길 30,02)730-5497
