노인복지주택,,,
시설명,시도명,시군구명,세대수
서울시니어스타워㈜ 서울본부,서울특별시,중구,144
정동상림원,서울특별시,중구,98
하이원빌리지,서울특별시,용산구,114
노블레스타워,서울특별시,성북구,239
시니어캐슬클라시온 노인복지주택,서울특별시,은평구,137
상암카이저팰리스,서울특별시,마포구,240
서울시니어스타워㈜ 가양본부,서울특별시,강서구,350
서울시니어스타워㈜ 강서본부,서울특별시,강서구,142
서울시니어스 강남타워,서울특별시,강남구,95
더시그넘하우스,서울특별시,강남구,169
후성누리움,서울특별시,강동구,51
흰돌실버타운,부산광역시,수영구,293
마리스텔라,인천광역시,서구,264
과학기술인공제회사이언스빌리지,대전광역시,유성구,240
밀마루복지마을,세종특별자치시,세종특별자치시,100
유당마을,경기도,수원시,279
광교아르데코,경기도,수원시,261
광교두산위브,경기도,수원시,547
서울시니어스타워㈜ 분당본부,경기도,성남시,254
정원속궁전,경기도,성남시,170
성남시 아리움,경기도,성남시,19
엔젤아크,경기도,성남시,33
더 헤리티지,경기도,성남시,390
수동시니어타운,경기도,남양주시,136
에버그린센터,경기도,남양주시,32
블루밍 더클래식,경기도,하남시,220
스프링카운티자이,경기도,용인시,1345
안성크리스찬휴빌리지,경기도,안성시,76
청심빌리지,경기도,가평군,155
동해약천온천실버타운,강원도,동해시,146
공주원로원,충청남도,공주시,100
옥성골든카운티,전라북도,전주시,446
내장산실버아파트,전라북도,정읍시,147
김제노인전용주택,전라북도,김제시,150
서울시니어스타워㈜ 고창타워,전라북도,고창군,243
월명성모의집 노인복지주택,경상북도,김천시,100
