번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),점포구분명
1,대규모점포,08_25_01_P,4500000,2.01745E+18,20170221,,1,영업/정상,5,영업개시전,,,,,,21566.49,,충청남도 공주시 금흥동 201번지 1호,,,U7 SQUARE,2.01704E+13,I,59:59.0,복합쇼핑몰,,,대규모점포
2,대규모점포,08_25_01_P,3640000,2.01936E+18,20190117,,1,영업/정상,5,영업개시전,,,,,02-380-5789,818.3,,대전광역시 동구 용운동 432번지 덕림코아빌딩,"대전광역시 동구 계족로140번길 183, 덕림코아빌딩 (용운동)",34526,(주)이마트에브리데이 용방점,2.02106E+13,U,40:00.0,구분없음,240750.4651,314288.2847,준대규모점포
3,대규모점포,08_25_01_P,3940000,2.01939E+18,20190122,,1,영업/정상,5,영업개시전,,,,,031-947-9603,6030.85,,경기도 고양시 일산동구 장항동 1800번지 라몬테이탈리아노,"경기도 고양시 일산동구 연리지로 51, 라몬테이탈리아노 (장항동)",10393,라 몬테 이탈리아노,2.01901E+13,I,20:58.0,그 밖의 대규모점포,178307.0447,461974.8012,대규모점포
4,대규모점포,08_25_01_P,3940000,2.01939E+18,20190123,,1,영업/정상,5,영업개시전,,,,,955-9445,9385.02,,경기도 고양시 일산서구 대화동 2603번지,경기도 고양시 일산서구 킨텍스로 240 (대화동),10391,GIFC MALL,2.01901E+13,I,21:00.0,그 밖의 대규모점포,177924.7924,462674.1487,대규모점포
5,대규모점포,08_25_01_P,5070000,2.01951E+18,20190115,,1,영업/정상,5,영업개시전,,,,,02-380-9461,142.23,,경상북도 안동시 서부동 149번지 40호,경상북도 안동시 번영4길 15 (서부동),36695,노브랜드 안동구시장점,2.01901E+13,I,20:51.0,구분없음,354708.4691,341870.1449,준대규모점포
6,대규모점포,08_25_01_P,5050000,2.01951E+18,20190227,,1,영업/정상,5,영업개시전,,,,,031-8060-0910,14558.83,,경상북도 경주시 신평동 375번지 4호,"경상북도 경주시 보문로 452, 모다아울렛 경주보문점 (신평동)",38117,모다아울렛 경주보문점,2.01902E+13,I,21:54.0,전문점,406640.7459,262693.0909,대규모점포
7,대규모점포,08_25_01_P,5710000,2.01957E+18,20190114,,1,영업/정상,5,영업개시전,,,,,43,379.2,,충청북도 청주시 상당구 방서동 247번지 9호 청주센트럴자이 102~1호,"충청북도 청주시 상당구 단재로 316, 102~105호 (방서동, 청주센트럴자이)",28787,GS수퍼마켓 청주방서점,2.01901E+13,I,20:50.0,구분없음,244753.1142,344513.4397,준대규모점포
8,대규모점포,08_25_01_P,5350000,2.01754E+18,20171213,,1,영업/정상,5,영업개시전,,,,,051-205-0491,3372,,경상남도 김해시 동상동 1117번지,,,캐슬아리스타궁,2.01712E+13,I,59:59.0,그 밖의 대규모점포,371586.6507,194970.6131,대규모점포
9,대규모점포,08_25_01_P,4530000,2.02245E+18,20220323,,1,영업/정상,5,영업개시전,,,,,041-669-1378,4150.89,,충청남도 서산시 잠홍동 568,충청남도 서산시 고운로 353(잠홍동),31966,충서원예농협 하나로마트,2.02203E+13,I,22:34.0,대형마트,152914.5046,365160.6669,대규모점포
10,대규모점포,08_25_01_P,5690000,2.01957E+18,20190417,,1,영업/정상,5,영업개시전,,,,,,457.32,,세종특별자치시 보람동 730 호려울마을3단지 근린생활시설,"세종특별자치시 한누리대로 2200, 호려울마을3단지 근린생활시설 1층 101-112호 (보람동)",30151,(주)이마트에브리데이 세종신동아점,2.02105E+13,U,40:00.0,그 밖의 대규모점포,,,준대규모점포
11,대규모점포,08_25_01_P,5710000,2.01957E+18,20190926,,1,영업/정상,5,영업개시전,,,,,043-000-0000,15841,,충청북도 청주시 청원구 내덕동 201번지 1호,충청북도 청주시 청원구 상당로 314 (내덕동),28501,원더아리아,2.01909E+13,I,22:39.0,쇼핑센터,243753.572,350655.6792,대규모점포
12,대규모점포,08_25_01_P,4210000,2.01942E+18,20190711,,1,영업/정상,5,영업개시전,,,,,033-522-0630,258,,"강원도 동해시 동회동 442번지 대동,현대아파트","강원도 동해시 청운1길 29 (동회동, 대동,현대아파트)",25807,노브랜드 동해남부재래시장점,2.01907E+13,I,21:44.0,구분없음,386177.814,444870.371,준대규모점포
13,대규모점포,08_25_01_P,3830000,2.02238E+18,20220408,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,214.87,,경기도 안양시 동안구 비산동 515-2 평촌자이아이파크 상가2동 부출입구 1층 101~103호,,,GS THE FRESH 안양비산점,2.02204E+13,I,22:33.0,구분없음,194071.5739,433589.038,준대규모점포
