법정동코드,주민센터_수,우체국_수,대학교_수,초중고_수,대중교통_만족도,도서관_수,문화시설_수,유통시설_수,상급종합병원_수,종합병원_수
1111000000,17,20,7,72,4.660666666666667,29,62,20,2,2
1114000000,15,13,2,60,4.660666666666667,25,24,58,0,2
1117000000,16,15,2,68,4.660666666666667,26,18,25,0,1
1120000000,17,10,3,82,4.660666666666667,31,14,20,1,0
1121500000,15,14,4,86,4.660666666666667,34,9,26,1,1
1123000000,14,14,6,94,4.660666666666667,47,11,32,1,3
1126000000,16,9,2,95,4.660666666666667,47,6,15,0,3
1129000000,20,15,7,120,4.660666666666667,60,22,35,1,0
1130500000,13,10,1,68,4.660666666666667,47,12,19,0,1
1132000000,14,11,1,92,4.660666666666667,38,11,14,0,1
1135000000,19,24,6,186,4.660666666666667,50,19,20,0,3
1138000000,17,12,1,133,4.660666666666667,64,16,26,0,2
1141000000,14,16,9,80,4.660666666666667,30,13,18,1,1
1144000000,16,19,2,92,4.660666666666667,44,13,27,0,0
1147000000,18,13,0,128,4.660666666666667,41,12,24,1,2
1150000000,20,18,4,160,4.660666666666667,59,13,26,0,4
1153000000,16,16,3,108,4.660666666666667,55,15,32,1,1
1154500000,10,6,0,66,4.660666666666667,27,7,22,0,1
1156000000,18,23,0,88,4.660666666666667,44,10,41,0,7
1159000000,15,12,3,88,4.660666666666667,45,8,15,1,1
1162000000,21,16,1,110,4.660666666666667,50,10,23,0,1
1165000000,18,25,2,102,4.660666666666667,54,18,27,1,0
1168000000,22,36,0,152,4.660666666666667,48,26,50,2,1
1171000000,27,26,1,176,4.660666666666667,68,21,43,1,1
1174000000,19,14,0,120,4.660666666666667,46,12,25,0,3
2611000000,9,7,0,18,4.6273333333333335,8,7,19,0,1
2614000000,13,6,0,46,4.6273333333333335,17,7,7,2,2
2617000000,12,9,0,32,4.6273333333333335,14,8,8,0,3
2620000000,11,6,2,58,4.6273333333333335,17,7,2,0,2
2623000000,20,19,4,138,4.6273333333333335,39,11,45,1,3
2626000000,13,14,0,101,4.6273333333333335,27,8,27,0,3
2629000000,17,12,4,98,4.6273333333333335,40,12,22,0,1
2632000000,13,13,2,103,4.6273333333333335,21,10,19,0,2
2635000000,18,21,1,128,4.6273333333333335,48,11,47,0,2
2638000000,16,14,2,112,4.6273333333333335,32,6,29,0,0
2641000000,17,14,4,93,4.6273333333333335,45,9,9,0,0
2644000000,8,16,0,68,4.6273333333333335,28,4,7,0,0
2647000000,12,15,3,56,4.6273333333333335,16,4,18,0,1
2650000000,10,8,0,40,4.6273333333333335,15,5,3,0,2
2653000000,12,16,4,72,4.6273333333333335,18,5,24,0,2
2671000000,5,9,1,70,4.6273333333333335,70,7,12,0,1
2711000000,12,8,0,38,4.614,25,9,24,1,2
2714000000,22,15,1,114,4.614,42,12,16,0,1
2717000000,17,9,1,62,4.614,20,8,19,0,1
2720000000,13,6,2,48,4.614,11,8,1,2,2
2723000000,23,18,5,159,4.614,42,15,34,1,1
2726000000,23,20,1,148,4.614,31,13,24,0,1
2729000000,23,20,3,216,4.614,49,15,31,1,5
2771000000,9,11,1,120,4.614,32,7,3,0,0
2811000000,11,8,0,84,4.554,15,17,13,1,1
2814000000,11,4,1,30,4.554,13,5,9,0,2
2817700000,21,13,3,98,4.554,28,10,33,0,2
2818500000,15,9,2,135,4.554,40,16,17,0,1
2820000000,20,14,0,154,4.554,51,10,29,1,1
2823700000,22,14,1,164,4.554,41,13,27,1,2
2824500000,12,6,2,106,4.554,37,7,8,0,2
2826000000,23,13,0,183,4.554,73,13,13,0,5
2871000000,13,14,2,76,4.554,14,11,2,0,1
2872000000,7,8,0,44,4.554,2,4,0,0,0
2911000000,13,10,3,44,4.553333333333333,37,18,23,2,1
2914000000,18,17,0,106,4.553333333333333,71,13,16,0,5
2915500000,17,15,4,112,4.553333333333333,55,12,8,0,4
2917000000,28,22,7,189,4.553333333333333,103,16,15,0,6
2920000000,21,20,4,176,4.553333333333333,87,9,9,0,6
3011000000,16,18,5,88,4.642,36,12,27,0,1
3014000000,17,16,1,110,4.642,52,7,23,1,2
3017000000,23,26,5,173,4.642,44,13,33,0,3
3020000000,13,19,5,156,4.642,87,17,12,0,1
3023000000,12,16,2,76,4.642,39,11,14,0,2
3111000000,13,9,1,82,4.509333333333333,36,7,5,0,2
3114000000,14,16,1,124,4.509333333333333,39,11,14,0,3
3117000000,9,8,1,68,4.509333333333333,25,3,3,1,0
3120000000,8,9,0,96,4.509333333333333,42,11,13,0,2
3171000000,12,14,2,117,4.509333333333333,48,14,4,0,1
3611000000,22,17,4,198,4.520666666666667,67,11,9,0,2
4111000000,44,35,5,400,4.472666666666666,157,42,46,1,5
4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6
4115000000,14,12,3,138,4.472666666666666,45,9,11,0,5
4117000000,31,20,5,172,4.472666666666666,76,16,29,1,2
4119000000,10,22,4,249,4.472666666666666,88,31,29,1,5
4121000000,19,9,0,94,4.472666666666666,52,10,18,0,2
4122000000,25,27,3,222,4.472666666666666,70,16,10,0,4
4125000000,8,4,1,46,4.472666666666666,8,7,3,0,0
4127000000,25,23,4,218,4.472666666666666,82,26,34,1,4
