이름,법정동코드,주민센터_수,우체국_수,대학교_수,초중고_수,대중교통_만족도,도서관_수,문화시설_수,유통시설_수,상급종합병원_수,종합병원_수,세대수
서울시니어스타워㈜ 서울본부,1114000000,15,13,2,60,4.660666666666667,25,24,58,0,2,144
정동상림원,1114000000,15,13,2,60,4.660666666666667,25,24,58,0,2,98
하이원빌리지,1117000000,16,15,2,68,4.660666666666667,26,18,25,0,1,114
더 클래식 500,1121500000,15,14,4,86,4.660666666666667,34,9,26,1,1,380
노블레스타워,1129000000,20,15,7,120,4.660666666666667,60,22,35,1,0,239
서울번동3,1130500000,13,10,1,68,4.660666666666667,47,12,19,0,1,100
서울중계3,1135000000,19,24,6,186,4.660666666666667,50,19,20,0,3,130
서울중계9,1135000000,19,24,6,186,4.660666666666667,50,19,20,0,3,60
시니어캐슬클라시온 노인복지주택,1138000000,17,12,1,133,4.660666666666667,64,16,26,0,2,137
상암카이저팰리스,1144000000,16,19,2,92,4.660666666666667,44,13,27,0,0,240
서울시니어스타워㈜ 가양본부,1150000000,20,18,4,160,4.660666666666667,59,13,26,0,4,350
서울시니어스타워㈜ 강서본부,1150000000,20,18,4,160,4.660666666666667,59,13,26,0,4,142
SK그레이스힐(등촌),1150000000,20,18,4,160,4.660666666666667,59,13,26,0,4,182
서울독산13,1154500000,10,6,0,66,4.660666666666667,27,7,22,0,1,10
서울시니어스 강남타워,1168000000,22,36,0,152,4.660666666666667,48,26,50,2,1,95
더시그넘하우스,1168000000,22,36,0,152,4.660666666666667,48,26,50,2,1,169
후성누리움,1174000000,19,14,0,120,4.660666666666667,46,12,25,0,3,51
흰돌실버타운,2650000000,10,8,0,40,4.6273333333333335,15,5,3,0,2,293
대구연호,2726000000,23,20,1,148,4.614,31,13,24,0,1,143
인천삼산,2823700000,22,14,1,164,4.554,41,13,27,1,2,208
마리스텔라,2826000000,23,13,0,183,4.554,73,13,13,0,5,264
인천검단,2826000000,23,13,0,183,4.554,73,13,13,0,5,120
옹진백령,2872000000,7,8,0,44,4.554,2,4,0,0,0,72
대전인동,3011000000,16,18,5,88,4.642,36,12,27,0,1,80
대전중촌2,3014000000,17,16,1,110,4.642,52,7,23,1,2,112
과학기술인공제회사이언스빌리지,3020000000,13,19,5,156,4.642,87,17,12,0,1,240
울산다운,3111000000,13,9,1,82,4.509333333333333,36,7,5,0,2,148
울산혁신,3111000000,13,9,1,82,4.509333333333333,36,7,5,0,2,80
밀마루복지마을,3611000000,22,17,4,198,4.520666666666667,67,11,9,0,2,100
세종신흥,3611000000,22,17,4,198,4.520666666666667,67,11,9,0,2,80
유당마을,4111000000,44,35,5,400,4.472666666666666,157,42,46,1,5,279
광교아르데코,4111000000,44,35,5,400,4.472666666666666,157,42,46,1,5,261
광교두산위브,4111000000,44,35,5,400,4.472666666666666,157,42,46,1,5,547
수원광교,4111000000,44,35,5,400,4.472666666666666,157,42,46,1,5,152
서울시니어스타워㈜ 분당본부,4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,254
정원속궁전,4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,170
성남시 아리움,4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,19
엔젤아크,4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,33
더 헤리티지,4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,390
분당목련1(고령자복지주택),4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,130
성남위례,4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,164
분당목련1(웰플러스주택),4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,90
분당한솔7,4113000000,50,34,5,310,4.472666666666666,133,24,62,1,6,248
의정부우정,4115000000,14,12,3,138,4.472666666666666,45,9,11,0,5,100
평택고덕,4122000000,25,27,3,222,4.472666666666666,70,16,10,0,4,114
수동시니어타운,4136000000,16,17,1,251,4.472666666666666,82,27,10,0,3,136
에버그린센터,4136000000,16,17,1,251,4.472666666666666,82,27,10,0,3,32
남양주다산진건,4136000000,16,17,1,251,4.472666666666666,82,27,10,0,3,116
시흥하중,4139000000,19,11,2,178,4.472666666666666,93,15,16,0,3,100
시흥은계,4139000000,19,11,2,178,4.472666666666666,93,15,16,0,3,190
블루밍 더클래식,4145000000,14,6,0,94,4.472666666666666,46,7,13,0,0,220
스프링카운티자이,4146000000,38,29,7,374,4.472666666666666,126,43,29,0,4,1345
삼성노블카운티+양로시설,4146000000,38,29,7,374,4.472666666666666,126,43,29,0,4,555
용인 엘펜하임,4146000000,38,29,7,374,4.472666666666666,126,43,29,0,4,336
파주운정,4148000000,16,19,1,209,4.472666666666666,84,40,15,0,2,152
안성크리스찬휴빌리지,4155000000,15,14,5,114,4.472666666666666,21,11,9,0,2,76
청심빌리지,4182000000,6,8,0,54,4.472666666666666,12,10,0,0,0,155
양평공흥,4183000000,12,12,1,86,4.472666666666666,24,17,2,0,0,150
고탄지구,4211000000,25,20,6,153,4.593999999999999,26,28,20,0,2,30
산수지구,4211000000,25,20,6,153,4.593999999999999,26,28,20,0,2,45
서곡지구,4213000000,25,25,6,180,4.593999999999999,65,21,14,1,1,50
산북지구,4215000000,21,23,5,122,4.593999999999999,23,30,12,1,3,20
샛돌지구,4215000000,21,23,5,122,4.593999999999999,23,30,12,1,3,54
동해약천온천실버타운,4217000000,10,8,0,54,4.593999999999999,22,7,3,0,1,146
동해천곡,4217000000,10,8,0,54,4.593999999999999,22,7,3,0,1,318
홍천북방,4272000000,10,13,0,89,4.593999999999999,11,7,5,0,1,128
모곡지구,4272000000,10,13,0,89,4.593999999999999,11,7,5,0,1,35
둔내지구,4273000000,9,10,2,68,4.593999999999999,13,6,1,0,0,34
강림지구,4273000000,9,10,2,68,4.593999999999999,13,6,1,0,0,30
월현지구,4273000000,9,10,2,68,4.593999999999999,13,6,1,0,0,33
동박골지구,4273000000,9,10,2,68,4.593999999999999,13,6,1,0,0,36
영월덕포,4275000000,9,12,1,62,4.593999999999999,9,29,1,0,1,100
도천지구,4275000000,9,12,1,62,4.593999999999999,9,29,1,0,1,26
직동지구,4275000000,9,12,1,62,4.593999999999999,9,29,1,0,1,43
평창종부,4276000000,8,9,0,62,4.593999999999999,11,12,1,0,0,116
화천신읍,4279000000,5,9,0,44,4.593999999999999,3,7,1,0,0,120
개울하늘,4279000000,5,9,0,44,4.593999999999999,3,7,1,0,0,20
건강명상,4279000000,5,9,0,44,4.593999999999999,3,7,1,0,0,20
아우라밸리,4279000000,5,9,0,44,4.593999999999999,3,7,1,0,0,20
청리지구,4280000000,5,6,0,38,4.593999999999999,7,9,0,0,0,31
고대지구,4280000000,5,6,0,38,4.593999999999999,7,9,0,0,0,31
영월주천,4281000000,6,9,0,54,4.593999999999999,13,11,0,0,0,100
인제서화,4281000000,6,9,0,54,4.593999999999999,13,11,0,0,0,70
한계지구,4281000000,6,9,0,54,4.593999999999999,13,11,0,0,0,31
유목지구,4281000000,6,9,0,54,4.593999999999999,13,11,0,0,0,30
진동지구,4281000000,6,9,0,54,4.593999999999999,13,11,0,0,0,30
오봉지구,4282000000,5,6,1,46,4.593999999999999,12,12,0,0,0,38
청주산남2-1,4311000000,43,50,9,364,4.468,130,39,47,1,6,130
인경지구,4311000000,43,50,9,364,4.468,130,39,47,1,6,32
앙성지구,4313000000,25,21,2,133,4.468,30,16,12,0,2,21
달두루지구,4313000000,25,21,2,133,4.468,30,16,12,0,2,57
제천청전,4315000000,17,17,3,86,4.468,29,15,5,0,2,90
송학지구,4315000000,17,17,3,86,4.468,29,15,5,0,2,31
애련지구,4315000000,17,17,3,86,4.468,29,15,5,0,2,30
원마루지구,4315000000,17,17,3,86,4.468,29,15,5,0,2,51
보은이평,4372000000,11,11,0,48,4.468,10,5,0,0,0,100
영동부용,4374000000,11,14,1,52,4.468,13,9,0,0,0,168
한석지구,4374000000,11,14,1,52,4.468,13,9,0,0,0,49
우매지구,4374000000,11,14,1,52,4.468,13,9,0,0,0,40
소수지구,4376000000,11,12,1,47,4.468,13,7,0,0,0,31
사은지구,4376000000,11,12,1,47,4.468,13,7,0,0,0,51
하일지구,4380000000,8,9,0,40,4.468,3,8,0,0,0,21
천안쌍용,4413000000,31,33,9,262,4.52,71,27,33,2,2,50
은지지구,4413000000,31,33,9,262,4.52,71,27,33,2,2,30
공주원로원,4415000000,16,15,2,104,4.52,29,18,2,0,1,100
보령명천,4418000000,16,16,1,100,4.52,37,12,5,0,1,120
죽림지구,4418000000,16,16,1,100,4.52,37,12,5,0,1,31
동화지구,4420000000,17,19,4,152,4.52,73,18,13,0,1,50
성북지구,4427000000,14,15,1,108,4.52,38,13,5,0,1,66
신동지구,4471000000,10,11,1,58,4.52,18,14,1,0,0,34
등고지구,4477000000,13,15,0,68,4.52,17,6,0,0,0,34
서천어메니티복지마을+양로시설,4477000000,13,15,0,68,4.52,17,6,0,0,0,107
청양교월,4479000000,10,10,1,38,4.52,11,5,0,0,0,127
작천지구,4479000000,10,10,1,38,4.52,11,5,0,0,0,31
수정지구,4479000000,10,10,1,38,4.52,11,5,0,0,0,31
지정지구,4480000000,11,15,3,80,4.52,18,8,3,0,1,20
