구미시,주민센터_수,우체국_수,대학교_수,초중고_수,도서관_수,유통_수,상급종합병원_수,종합병원_수,sum_a
도량동,0.10702421691133289,0.10349189934328712,0.0,0.6974334491011633,0.41723435090867256,0.0,0.0,0.0,1.3251839162644559
봉곡동,0.10702421691133289,0.10349189934328712,0.0,0.6414413086694339,0.37680016453470516,0.08443741369597592,0.0,0.0,1.3131950031547353
고아읍,0.10702421691133289,0.16403077958751855,0.0,0.6414413086694339,0.37680016453470516,0.0,0.0,0.0,1.2892964697029905
형곡동,0.16962937047350965,0.10349189934328712,0.0,0.6414413086694339,0.1990713770176898,0.08443741369597592,0.0,0.0506713095786656,1.248742678778562
옥계동,0.10702421691133289,0.10349189934328712,0.0,0.6075457803002724,0.2512001096898034,0.0,0.0,0.0,1.0692620062446958
공단동,0.16962937047350965,0.16403077958751855,0.05774023578733038,0.3812189154963774,0.1990713770176898,0.0,0.0,0.0506713095786656,1.0223619879410912
원평동,0.10702421691133289,0.10349189934328712,0.0,0.46091728729960224,0.1990713770176898,0.08443741369597592,0.0,0.0,0.9549421942678878
선산읍,0.10702421691133289,0.10349189934328712,0.0,0.46091728729960224,0.1990713770176898,0.08443741369597592,0.0,0.0,0.9549421942678878
산동읍,0.10702421691133289,0.10349189934328712,0.05774023578733038,0.6414413086694339,0.0,0.0,0.0,0.0,0.9096976607113844
신평동,0.16962937047350965,0.10349189934328712,0.0,0.5204447863461132,0.0,0.08443741369597592,0.0,0.0,0.8780034698588859
구평동,0.0,0.10349189934328712,0.0,0.5679765763611053,0.1990713770176898,0.0,0.0,0.0,0.8705398527220822
해평면,0.10702421691133289,0.10349189934328712,0.0,0.46091728729960224,0.1256000548449017,0.0,0.0,0.0,0.7970334583991239
상모동,0.0,0.10349189934328712,0.0,0.46091728729960224,0.1990713770176898,0.0,0.0,0.0,0.763480563660579
진평동,0.10702421691133289,0.0,0.0,0.3812189154963774,0.1990713770176898,0.0,0.0,0.0506713095786656,0.7379858190040657
송정동,0.10702421691133289,0.10349189934328712,0.0,0.3812189154963774,0.0,0.1338301343660008,0.0,0.0,0.7255651661169982
사곡동,0.10702421691133289,0.0,0.0,0.3812189154963774,0.1990713770176898,0.0,0.0,0.0,0.6873145094254001
인의동,0.10702421691133289,0.10349189934328712,0.0,0.46091728729960224,0.0,0.0,0.0,0.0,0.6714334035542222
도개면,0.10702421691133289,0.10349189934328712,0.0,0.46091728729960224,0.0,0.0,0.0,0.0,0.6714334035542222
장천면,0.10702421691133289,0.10349189934328712,0.0,0.46091728729960224,0.0,0.0,0.0,0.0,0.6714334035542222
광평동,0.10702421691133289,0.0,0.0,0.3812189154963774,0.0,0.1338301343660008,0.0,0.0,0.6220732667737111
옥성면,0.10702421691133289,0.10349189934328712,0.0,0.3812189154963774,0.0,0.0,0.0,0.0,0.5917350317509974
무을면,0.10702421691133289,0.10349189934328712,0.0,0.3812189154963774,0.0,0.0,0.0,0.0,0.5917350317509974
남통동,0.0,0.0,0.0,0.3812189154963774,0.1990713770176898,0.0,0.0,0.0,0.5802902925140672
지산동,0.10702421691133289,0.0,0.0,0.3812189154963774,0.0,0.0,0.0,0.0,0.4882431324077103
황상동,0.0,0.10349189934328712,0.0,0.3812189154963774,0.0,0.0,0.0,0.0,0.4847108148396645
오태동,0.0,0.0,0.0,0.3812189154963774,0.0,0.0,0.0,0.0,0.3812189154963774
임수동,0.0,0.0,0.0,0.26022239317305657,0.0,0.08443741369597592,0.0,0.0,0.34465980686903247
거의동,0.0,0.0,0.05774023578733038,0.26022239317305657,0.0,0.0,0.0,0.0,0.31796262896038696
구포동,0.0,0.0,0.0,0.0,0.1256000548449017,0.08443741369597592,0.0,0.0,0.21003746854087763
선기동,0.0,0.0,0.0,0.0,0.1256000548449017,0.0,0.0,0.0,0.1256000548449017
부곡동,0.0,0.0,0.05774023578733038,0.0,0.0,0.0,0.0,0.0,0.05774023578733038
비산동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
수점동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금전동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
시미동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
양호동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
