,주민센터_수,우체국_수,대학교_수,초중고_수,도서관 수,유통_수,상급종합병원_수,종합병원_수
주민센터_수,1.0,0.9471572411831843,0.2559580248098155,1.6135032691375522,1.2170516132466387,0.8113677421644259,0.0,0.0
우체국_수,1.055790904106698,1.0,0.27023815442731974,1.7035220753018492,1.284952023094184,0.8566346820627895,0.0,0.0
대학교_수,3.9068905956085187,3.700439718141092,1.0,6.303780748177103,4.754887502163469,3.1699250014423126,0.0,0.0
초중고_수,0.6197694291220859,0.5870191026569519,0.15863495891559604,1.0,0.754291383553983,0.502860922369322,0.0,0.0
도서관 수,0.821657840239309,0.7782391731575976,0.21030991785715247,1.3257476113386257,1.0,0.6666666666666667,0.0,0.0
유통_수,1.2324867603589635,1.1673587597363964,0.3154648767857287,1.9886214170079384,1.5,1.0,0.0,0.0
상급종합병원_수,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
종합병원_수,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
기하평균,1.1262610703923581,1.0813234857639165,0.4052897640821426,1.6123765010955433,1.3050309759059324,0.9628361237893076,0.0,0.0
가중치,0.17345458439076653,0.16653378221606666,0.06241835879332091,0.2483208407279274,0.20098679737192832,0.1482856364999901,0.0,0.0
